iter	Passed	Remaining
1688	1063	2084
1689	1063	2083
1690	1064	2082
1691	1064	2081
1692	1065	2080
1693	1065	2079
1694	1066	2078
1695	1066	2077
1696	1066	2076
1697	1067	2075
1698	1067	2074
1699	1068	2073
1700	1068	2072
1701	1069	2072
1702	1069	2071
1703	1070	2070
1704	1070	2069
1705	1070	2067
1706	1071	2067
1707	1072	2066
1708	1072	2065
1709	1073	2064
1710	1074	2065
1711	1074	2064
1712	1075	2063
1713	1075	2062
1714	1076	2061
1715	1077	2061
1716	1077	2060
1717	1078	2059
1718	1078	2058
1719	1079	2057
1720	1080	2058
1721	1080	2057
1722	1081	2057
1723	1082	2057
1724	1083	2056
1725	1083	2055
1726	1083	2054
1727	1084	2053
1728	1086	2055
1729	1086	2054
1730	1087	2053
1731	1087	2052
1732	1088	2051
1733	1088	2050
1734	1089	2050
1735	1090	2049
1736	1090	2048
1737	1091	2047
1738	1091	2047
1739	1092	2046
1740	1092	2045
1741	1093	2044
1742	1093	2043
1743	1094	2043
1744	1094	2042
1745	1095	2041
1746	1095	2040
1747	1096	2039
1748	1096	2038
1749	1097	2037
1750	1097	2036
1751	1098	2035
1752	1098	2035
1753	1099	2034
1754	1099	2033
1755	1100	2032
1756	1100	2031
1757	1100	2030
1758	1101	2029
1759	1101	2028
1760	1102	2026
1761	1102	2026
1762	1103	2025
1763	1103	2024
1764	1104	2024
1765	1104	2023
1766	1105	2022
1767	1105	2021
1768	1106	2020
1769	1106	2019
1770	1107	2018
1771	1107	2017
1772	1107	2016
1773	1108	2015
1774	1109	2015
1775	1109	2014
1776	1110	2013
1777	1110	2013
1778	1111	2012
1779	1111	2011
1780	1112	2010
1781	1113	2010
1782	1113	2009
1783	1114	2008
1784	1114	2007
1785	1115	2006
1786	1115	2005
1787	1116	2004
1788	1116	2003
1789	1116	2002
1790	1117	2001
1791	1117	2000
1792	1118	1999
1793	1118	1998
1794	1118	1997
1795	1119	1996
1796	1119	1995
1797	1120	1994
1798	1120	1994
1799	1122	1995
1800	1122	1994
1801	1123	1993
1802	1123	1992
1803	1124	1991
1804	1124	1990
1805	1125	1989
1806	1125	1989
1807	1127	1989
1808	1127	1989
1809	1128	1988
1810	1128	1987
1811	1129	1986
1812	1129	1985
1813	1130	1984
1814	1130	1984
1815	1131	1984
1816	1132	1984
1817	1133	1983
1818	1133	1982
1819	1134	1982
1820	1135	1982
1821	1136	1981
1822	1136	1980
1823	1137	1980
1824	1137	1979
1825	1138	1978
1826	1138	1977
1827	1138	1976
1828	1139	1975
1829	1139	1974
1830	1140	1973
1831	1140	1972
1832	1141	1972
